temp,hum,pres,lux,uv,prec,label
25.77,43.21,1001.51,71.67,0,0,wheat
25.78,43.27,1001.54,71.67,0,0,wheat
25.82,42.95,1001.55,71.67,0,0,wheat
25.84,42.97,1001.54,71.67,0,0,wheat
25.82,43.27,1001.57,70.83,0,0,wheat
25.78,42.86,1001.57,71.67,0,0,wheat
25.79,42.56,1001.57,71.67,0,0,wheat
25.76,42.24,1001.57,70.83,0,0,wheat
25.77,42.1,1001.58,72.5,0,0,wheat
25.71,42.09,1001.56,70.83,0,0,wheat
25.72,41.52,1001.52,72.5,0,0,wheat
25.76,41.33,1001.54,71.67,0,0,wheat
25.72,41.62,1001.53,72.5,0,0,mango
25.73,42.04,1001.53,71.67,0,0,mango
25.74,42.25,1001.56,72.5,0,0,mango
25.75,41.47,1001.54,72.5,0,0,mango
25.73,41.95,1001.52,72.5,0,0,mango
25.71,41.65,1001.56,70.83,0,0,mango
25.74,41.15,1001.53,71.67,0,0,mango
25.75,40.97,1001.55,71.67,0,0,mango
25.71,41.86,1001.56,71.67,0,0,mango
25.65,41.53,1001.55,72.5,0,0,mango
25.63,40.81,1001.57,72.5,0,0,mango
25.64,41.51,1001.55,72.5,0,0,mango
25.64,41.66,1001.57,72.5,0,0,mango
25.59,41.63,1001.56,72.5,0,0,mango
25.61,41.33,1001.57,72.5,0,0,mango
25.63,41.48,1001.55,72.5,0,0,mango
25.66,41.39,1001.58,73.33,0,0,mango
25.66,41.13,1001.55,54.17,0,0,mango
25.69,41.06,1001.57,71.67,0,0,mango
25.66,41.04,1001.53,73.33,0,0,mango
25.61,41.36,1001.54,73.33,0,0,mango
25.67,41.59,1001.56,73.33,0,0,mango
25.67,40.92,1001.56,73.33,0,0,mango
25.7,40.58,1001.55,73.33,0,0,mango
25.67,40.99,1001.54,73.33,0,0,mango
25.67,41.01,1001.58,71.67,0,0,mango
25.64,40.52,1001.59,71.67,0,0,mango
25.6,40.7,1001.6,71.67,0,0,mango
25.63,40.55,1001.59,73.33,0,0,mango
25.59,40.37,1001.61,72.5,0,0,mango
25.55,40.51,1001.66,73.33,0,0,mango
25.56,40.46,1001.64,73.33,0,0,mango
25.59,40.48,1001.64,73.33,0,0,mango
25.58,40.26,1001.65,73.33,0,0,mango
25.56,40.11,1001.67,73.33,0,0,mango
25.49,39.6,1001.72,72.5,0,0,mango
25.56,40.2,1001.68,73.33,0,0,mango
25.55,40.24,1001.69,73.33,0,0,mango
25.56,40.07,1001.71,72.5,0,0,mango
25.53,39.89,1001.7,73.33,0,0,mango
25.5,39.78,1001.68,72.5,0,0,mango
25.5,39.94,1001.7,72.5,0,0,mango
25.47,39.93,1001.69,72.5,0,0,mango
25.51,39.67,1001.73,71.67,0,0,mango
25.54,39.95,1001.73,72.5,0,0,mango
25.57,40.72,1001.72,72.5,0,0,mango
25.64,41.22,1001.76,73.33,0,0,mango
25.72,42.04,1001.79,73.33,0,0,mango
25.78,42.35,1001.8,73.33,0,0,mango
25.85,42.58,1001.79,73.33,0,0,mango
25.86,42.99,1001.84,74.17,0,0,mango
25.92,43.32,1001.82,73.33,0,0,mango
25.93,43.63,1001.82,73.33,0,0,mango
25.97,43.7,1001.81,73.33,0,0,mango
25.99,44.16,1001.82,74.17,0,0,mango
26.01,44.26,1001.85,74.17,0,0,mango
26.08,44.66,1001.83,73.33,0,0,mango
26.11,44.87,1001.84,73.33,0,0,mango
26.15,45.04,1001.84,73.33,0,0,mango
26.17,45,1001.84,74.17,0,0,mango
26.2,45.34,1001.82,73.33,0,0,mango
26.21,45.55,1001.84,74.17,0,0,mango
26.21,45.77,1001.89,74.17,0,0,mango
26.26,45.97,1001.86,73.33,0,0,mango
26.28,46.45,1001.88,74.17,0,0,mango
26.32,46.51,1001.88,73.33,0,0,mango
26.35,46.39,1001.88,73.33,0,0,mango
26.36,46.51,1001.88,73.33,0,0,mango
26.38,47.14,1001.9,73.33,0,0,mango
26.42,46.51,1001.91,73.33,0,0,mango
26.46,46.83,1001.87,73.33,0,0,mango
26.47,46.89,1001.86,73.33,0,0,mango
26.49,47.05,1001.91,73.33,0,0,mango
26.51,46.87,1001.86,73.33,0,0,mango
26.51,46.87,1001.9,73.33,0,0,mango
26.51,46.85,1001.91,74.17,0,0,mango
26.55,46.65,1001.91,74.17,0,0,mango
26.53,46.72,1001.9,73.33,0,0,mango
26.52,46.64,1001.9,73.33,0,0,mango
26.5,46.4,1001.94,74.17,0,0,mango
26.52,46.06,1001.89,73.33,0,0,mango
26.53,46.12,1001.93,73.33,0,0,mango
26.57,46.02,1001.92,73.33,0,0,mango
26.57,45.88,1001.95,73.33,0,0,mango
26.58,45.93,1001.93,73.33,0,0,mango
26.58,45.82,1001.93,72.5,0,0,mango
26.6,45.71,1001.94,72.5,0,0,mango
26.62,45.54,1001.9,72.5,0,0,mango
26.63,45.63,1001.93,72.5,0,0,mango
26.59,45.32,1001.93,72.5,0,0,mango
26.62,45.49,1001.86,72.5,0,0,mango
26.66,45.42,1001.91,72.5,0,0,mango
26.67,45.41,1001.91,72.5,0,0,mango
26.73,45.52,1001.89,72.5,0,0,mango
26.72,45.36,1001.84,72.5,0,0,mango
26.74,45.31,1001.87,71.67,0,0,mango
26.77,45.61,1001.84,72.5,0,0,mango
26.8,45.35,1001.89,71.67,0,0,mango
26.82,45.34,1001.85,71.67,0,0,mango
26.85,45.33,1001.87,67.5,0,0,mango
26.85,45.29,1001.89,70.83,0,0,mango
26.86,45.19,1001.91,71.67,0,0,mango
26.88,45.22,1001.9,71.67,0,0,mango
26.9,45.07,1001.93,71.67,0,0,maize
26.91,45.19,1001.95,70.83,0,0,maize
26.9,45.23,1001.94,70.83,0,0,maize
26.92,45.33,1001.93,71.67,0,0,maize
26.94,45.32,1001.97,70.83,0,0,maize
26.95,45.23,1001.99,70.83,0,0,maize
26.99,45.17,1001.97,70.83,0,0,maize
26.99,45.17,1002,70.83,0,0,maize
27,45.18,1002.01,71.67,0,0,maize
27.01,45.22,1002.02,71.67,0,0,maize
27.02,45.2,1002.02,70.83,0,0,maize
27.03,45.35,1002.02,71.67,0,0,maize
27.03,45.32,1002.01,71.67,0,0,maize
27.08,45.39,1002.01,71.67,0,0,maize
27.11,45.43,1002.04,71.67,0,0,maize
27.12,45.47,1002.06,71.67,0,0,maize
27.15,45.43,1002.05,70.83,0,0,maize
27.18,45.54,1002.03,70.83,0,0,maize
27.2,45.47,1002.04,71.67,0,0,maize
27.21,45.51,1002.03,70.83,0,0,maize
27.24,45.69,1002.05,71.67,0,0,maize
27.24,45.51,1002.03,71.67,0,0,maize
27.26,45.77,1002.04,70.83,0,0,maize
27.28,45.68,1002.04,71.67,0,0,maize
27.27,45.65,1002.06,70.83,0,0,maize
27.29,45.72,1002.04,71.67,0,0,maize
27.32,45.8,1002.07,70.83,0,0,maize
27.33,45.73,1002.08,70.83,0,0,maize
27.34,45.78,1002.03,70.83,0,0,maize
27.37,45.79,1002.06,70.83,0,0,maize
27.43,45.89,1002.09,70.83,0,0,maize
27.45,45.84,1002.07,70,0,0,maize
27.44,45.95,1002.07,70.83,0,0,maize
27.46,46.06,1002.06,70.83,0,0,maize
27.45,45.97,1002.06,70.83,0,0,maize
27.51,46.27,1002.12,57.5,0,0,maize
27.52,46.18,1002.11,71.67,0,0,maize
27.52,46.26,1002.12,71.67,0,0,maize
27.55,46.14,1002.14,71.67,0,0,maize
27.58,46.45,1002.16,71.67,0,0,maize
27.57,46.45,1002.16,71.67,0,0,maize
27.6,46.76,1002.19,71.67,0,0,maize
27.62,46.48,1002.17,70.83,0,0,maize
27.63,46.46,1002.18,71.67,0,0,maize
27.62,46.59,1002.22,71.67,0,0,maize
27.66,46.73,1002.25,71.67,0,0,maize
27.68,46.84,1002.25,71.67,0,0,maize
27.67,46.75,1002.25,70.83,0,0,maize
27.7,46.9,1002.27,71.67,0,0,maize
27.71,46.94,1002.29,70.83,0,0,maize
27.73,46.65,1002.29,71.67,0,0,maize
27.74,46.74,1002.32,71.67,0,0,maize
27.72,46.89,1002.33,71.67,0,0,maize
27.69,46.58,1002.35,71.67,0,0,maize
27.7,46.21,1002.32,72.5,0,0,maize
27.69,45.96,1002.33,72.5,0,0,maize
27.65,45.57,1002.35,72.5,0,0,maize
27.62,45.53,1002.37,71.67,0,0,maize
27.64,45.2,1002.4,62.5,0,0,maize
27.69,45.1,1002.4,58.33,0,0,maize
27.68,45.13,1002.4,59.17,0,0,maize
27.67,44.93,1002.41,69.17,0,0,maize
27.68,44.66,1002.43,61.67,0,0,maize
27.7,44.46,1002.42,60.83,0,0,maize
